id_intervento,tipo,nome,fase,fase_orig,data_stato,data_attivazione,data_fine
Isole_Ambientali:39adeaff58,isola_ambientale,Quadraro Vecchio,da_definire,,placeholder,,
Isole_Ambientali:3c665a8cb5,isola_ambientale,Pigneto,da_definire,,placeholder,,
Isole_Ambientali:02288b0e7b,isola_ambientale,Casal Bertone,da_definire,,placeholder,,
Isole_Ambientali:f81258ca63,isola_ambientale,Acqua Sacra,da_definire,,placeholder,,
Isole_Ambientali:1859dca201,isola_ambientale,Ostia Antica,da_definire,,placeholder,,
Isole_Ambientali:0510a2d6d8,isola_ambientale,Axa Malafede,da_definire,,placeholder,,
Isole_Ambientali:1ddf0996b5,isola_ambientale,Aventino,da_definire,,placeholder,,
Isole_Ambientali:0996efed60,isola_ambientale,Trastevere Ripa,da_definire,,placeholder,,
Isole_Ambientali:3c7458a665,isola_ambientale,Isola Ambientale Farnese Portico D'Ottavia,da_definire,,placeholder,,
Isole_Ambientali:7cec0d2394,isola_ambientale,Isola Ambientale Navona Pantheon,da_definire,,placeholder,,
Isole_Ambientali:9de5a43b14,isola_ambientale,Spagna Trevi Quirinale,da_definire,,placeholder,,
Isole_Ambientali:74ad194670,isola_ambientale,Ludovisi Veneto,da_definire,,placeholder,,
Isole_Ambientali:06cfa33582,isola_ambientale,Termini,da_definire,,placeholder,,
Isole_Ambientali:395bb04f79,isola_ambientale,Viminale,da_definire,,placeholder,,
Isole_Ambientali:8e29b72db8,isola_ambientale,Esquilino,da_definire,,placeholder,,
Isole_Ambientali:5c4f61e56f,isola_ambientale,Colosseo Colle Oppio,da_definire,,placeholder,,
Isole_Ambientali:67cf76402f,isola_ambientale,Celio,da_definire,,placeholder,,
Isole_Ambientali:c21d72c6a9,isola_ambientale,San Saba,da_definire,,placeholder,,
Isole_Ambientali:9243e03339,isola_ambientale,Coppedè,da_definire,,placeholder,,
Isole_Ambientali:aa0be1c858,isola_ambientale,Morena,da_definire,,placeholder,,
Isole_Ambientali:352e65d314,isola_ambientale,Lungomare Ostia,da_definire,,placeholder,,
Isole_Ambientali:1ad72520cd,isola_ambientale,Zama,da_definire,,placeholder,,
Isole_Ambientali:5702b21b53,isola_ambientale,Terme di Caracalla,da_definire,,placeholder,,
Isole_Ambientali:87e1903182,isola_ambientale,Porta Metronia,da_definire,,placeholder,,
Isole_Ambientali:1160be1de7,isola_ambientale,Val d'Ala,da_definire,,placeholder,,
Isole_Ambientali:3c7335ea00,isola_ambientale,Piazza Alessandria,da_definire,,placeholder,,
Isole_Ambientali:6a4a6871f3,isola_ambientale,Tuscolana,da_definire,,placeholder,,
Isole_Ambientali:9a78d52850,isola_ambientale,Villa Certosa,da_definire,,placeholder,,
Isole_Ambientali:b85f5f8d7c,isola_ambientale,La Rustica,da_definire,,placeholder,,
Isole_Ambientali:257c654701,isola_ambientale,Monte Verde,da_definire,,placeholder,,
Isole_Ambientali:cf10c399d9,isola_ambientale,Marconi,da_definire,,placeholder,,
Isole_Ambientali:232e60b90b,isola_ambientale,Fonte Meravigliosa,da_definire,,placeholder,,
Isole_Ambientali:49089643bd,isola_ambientale,Eur,da_definire,,placeholder,,
Isole_Ambientali:b5648fdbb3,isola_ambientale,Prati,da_definire,,placeholder,,
Isole_Ambientali:c01ac6aa1f,isola_ambientale,Torraccia,da_definire,,placeholder,,
Isole_Ambientali:3d5da042dd,isola_ambientale,Testaccio,da_definire,,placeholder,,
Isole_Ambientali:bd5dcf5a8c,isola_ambientale,Portuense,da_definire,,placeholder,,
Isole_Ambientali:d73be97afe,isola_ambientale,Garbatella,da_definire,,placeholder,,
Isole_Ambientali:274eb6bbd0,isola_ambientale,Montagnola,da_definire,,placeholder,,
Isole_Ambientali:abb7cc492b,isola_ambientale,San Paolo,da_definire,,placeholder,,
Isole_Ambientali:c9edd36705,isola_ambientale,Stazione S. Pietro,da_definire,,placeholder,,
Isole_Ambientali:eb2f9ecffd,isola_ambientale,Avignone,da_definire,,placeholder,,
Isole_Ambientali:b2dcb6e156,isola_ambientale,Lungotevere Ansa Barocca,da_definire,,placeholder,,
Isole_Ambientali:c69cddc2e3,isola_ambientale,Torre Maura,da_definire,,placeholder,,
Isole_Ambientali:36003aa7b9,isola_ambientale,Villaggio Olimpico,da_definire,,placeholder,,
Isole_Ambientali:039b9c5b8c,isola_ambientale,Lucchina - Ottavia,da_definire,,placeholder,,
Isole_Ambientali:5dae6912a4,isola_ambientale,Battistini,da_definire,,placeholder,,
Isole_Ambientali:d7f50a4873,isola_ambientale,Amba Alagi,da_definire,,placeholder,,
Isole_Ambientali:9c08e50290,isola_ambientale,Sant'Ippolito,da_definire,,placeholder,,
Isole_Ambientali:3a4cd6366b,isola_ambientale,Province,da_definire,,placeholder,,
Isole_Ambientali:e72bf03b60,isola_ambientale,High line Prenestina,da_definire,,placeholder,,
Isole_Ambientali:cc88e491da,isola_ambientale,Romanisti,da_definire,,placeholder,,
Isole_Ambientali:656a45dbaf,isola_ambientale,Colli Aniene,da_definire,,placeholder,,
Isole_Ambientali:523b5ff4e6,isola_ambientale,Colle di Mezzo,da_definire,,placeholder,,
Isole_Ambientali:c6c7aaefb2,isola_ambientale,Casal Bernocchi,da_definire,,placeholder,,
Isole_Ambientali:c93552a2f7,isola_ambientale,Gianicolense,da_definire,,placeholder,,
Isole_Ambientali:15c4d3d201,isola_ambientale,Valle dell'inferno,da_definire,,placeholder,,
Isole_Ambientali:fa663fedd5,isola_ambientale,Degas,da_definire,,placeholder,,
Isole_Ambientali:e0129c9373,isola_ambientale,Parco de Medici,da_definire,,placeholder,,
Isole_Ambientali:fd0a425aee,isola_ambientale,Piazza Morelli,da_definire,,placeholder,,
Isole_Ambientali:981f496feb,isola_ambientale,Etruria,da_definire,,placeholder,,
Isole_Ambientali:e75e75044b,isola_ambientale,Tor Pignattara,da_definire,,placeholder,,
Isole_Ambientali:484966e16d,isola_ambientale,Beltramelli,da_definire,,placeholder,,
Isole_Ambientali:ecdb019f0f,isola_ambientale,Casal Bruciato,da_definire,,placeholder,,
Isole_Ambientali:2b1f402ae0,isola_ambientale,Meucci,da_definire,,placeholder,,
Isole_Ambientali:f843e77456,isola_ambientale,Bertarelli,da_definire,,placeholder,,
Isole_Ambientali:7bca7fcc4f,isola_ambientale,Collina Lanciani,da_definire,,placeholder,,
Isole_Ambientali:ed54943560,isola_ambientale,Mura Ardeatine,da_definire,,placeholder,,
Isole_Ambientali:b9ff003f31,isola_ambientale,Via di Porta Latina,da_definire,,placeholder,,
Isole_Ambientali:cbe0bf960d,isola_ambientale,Acquedotto Paolo,da_definire,,placeholder,,
Isole_Ambientali:12b10d54fe,isola_ambientale,Corso Italia,da_definire,,placeholder,,
Isole_Ambientali:0ad7514725,isola_ambientale,Casal Brunori,da_definire,,placeholder,,
Isole_Ambientali:7b5b7fdd76,isola_ambientale,Primavalle,da_definire,,placeholder,,
Isole_Ambientali:b36b39a674,isola_ambientale,Balduina,da_definire,,placeholder,,
Isole_Ambientali:75a9c7bd6b,isola_ambientale,ex-tangenziale EST,da_definire,,placeholder,,
Isole_Ambientali:424f4fbe11,isola_ambientale,ex-tangenziale - Addis Abeba,da_definire,,placeholder,,
